"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
2004,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"73,572"
2004,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,369"
2004,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"101,044"
2004,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,363"
2004,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"40,508"
2004,ND,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),256
2004,NE,Total Electric Power Industry,Coal (Short Tons),"12,661,867"
2004,NE,Total Electric Power Industry,Petroleum (Barrels),"48,795"
2004,NE,Total Electric Power Industry,Natural Gas (Mcf),"3,441,110"
2004,NE,Total Electric Power Industry,Other Gases (Billion BTU),1
2004,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"12,649,573"
2004,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"47,050"
2004,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,339,936"
2004,NE,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),1
2004,NE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),8
2004,NE,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,745"
2004,NE,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"101,166"
2004,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"12,294"
2004,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2004,NH,Total Electric Power Industry,Coal (Short Tons),"1,659,582"
2004,NH,Total Electric Power Industry,Petroleum (Barrels),"3,597,677"
2004,NH,Total Electric Power Industry,Natural Gas (Mcf),"39,523,652"
2004,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,659,582"
2004,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,125,426"
2004,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,000"
2004,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"146,544"
2004,NH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"37,731,250"
2004,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"29,654"
2004,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"296,053"
2004,NH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,791,402"
2004,NJ,Total Electric Power Industry,Coal (Short Tons),"4,143,553"
2004,NJ,Total Electric Power Industry,Petroleum (Barrels),"2,617,007"
2004,NJ,Total Electric Power Industry,Natural Gas (Mcf),"126,929,680"
2004,NJ,Total Electric Power Industry,Other Gases (Billion BTU),530
2004,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),"779,142"
2004,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"212,585"
2004,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"477,824"
2004,NJ,"Electric Generators, Independent Power Producers",Coal (Short Tons),"2,145,422"
2004,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,677,348"
2004,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"66,311,807"
2004,NJ,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2004,NJ,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,218,989"
2004,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"438,069"
2004,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"52,604,837"
2004,NJ,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),3
2004,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"2,970"
2004,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"746,455"
2004,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"286,036"
2004,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,788,757"
2004,NJ,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),526
2004,NM,Total Electric Power Industry,Coal (Short Tons),"16,660,841"
2004,NM,Total Electric Power Industry,Petroleum (Barrels),"54,941"
2004,NM,Total Electric Power Industry,Natural Gas (Mcf),"34,876,554"
2004,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,660,841"
2004,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"52,738"
2004,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"30,027,238"
2004,NM,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2004,NM,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"789,362"
2004,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),0
2004,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"468,095"
2004,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,203"
2004,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,591,859"
2004,NV,Total Electric Power Industry,Coal (Short Tons),"8,501,930"
2004,NV,Total Electric Power Industry,Petroleum (Barrels),"170,485"
2004,NV,Total Electric Power Industry,Natural Gas (Mcf),"132,147,989"
2004,NV,Total Electric Power Industry,Other Gases (Billion BTU),199
2004,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,501,930"
2004,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"170,485"
2004,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"41,620,592"
2004,NV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2004,NV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"72,331,308"
2004,NV,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2004,NV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"18,196,089"
2004,NV,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),199
2004,NY,Total Electric Power Industry,Coal (Short Tons),"9,650,153"
2004,NY,Total Electric Power Industry,Petroleum (Barrels),"35,349,103"
2004,NY,Total Electric Power Industry,Natural Gas (Mcf),"242,826,924"
2004,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),"755,379"
2004,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,262,742"
2004,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"74,509,878"
2004,NY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"8,380,021"
2004,NY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"19,493,144"
2004,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"73,709,291"
2004,NY,"Combined Heat and Power, Electric Power",Coal (Short Tons),"385,292"
2004,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"282,022"
2004,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"91,141,155"
2004,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"4,709"
2004,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"144,983"
2004,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,378,026"
2004,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"124,752"
2004,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"166,212"
2004,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,088,574"
2004,OH,Total Electric Power Industry,Coal (Short Tons),"55,157,012"
2004,OH,Total Electric Power Industry,Petroleum (Barrels),"2,642,960"
2004,OH,Total Electric Power Industry,Natural Gas (Mcf),"12,018,159"
2004,OH,Total Electric Power Industry,Other Gases (Billion BTU),"1,865"
2004,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"53,409,894"
2004,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,575,083"
2004,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,602,417"
2004,OH,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,584,052"
2004,OH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"59,336"
2004,OH,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,087,489"
2004,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,057,014"
2004,OH,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),815
2004,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"25,073"
2004,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),13
2004,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),35
2004,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"137,993"
2004,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"8,529"
2004,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"271,204"
2004,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,050"
2004,OK,Total Electric Power Industry,Coal (Short Tons),"20,349,684"
2004,OK,Total Electric Power Industry,Petroleum (Barrels),"82,221"
2004,OK,Total Electric Power Industry,Natural Gas (Mcf),"204,655,815"
2004,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"19,160,878"
2004,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"42,336"
2004,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"140,253,719"
2004,OK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"59,244,112"
2004,OK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,014,775"
2004,OK,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"409,097"
2004,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),366
2004,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"99,234"
2004,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"174,031"
2004,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"39,520"
2004,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"4,649,653"
2004,OR,Total Electric Power Industry,Coal (Short Tons),"2,086,052"
2004,OR,Total Electric Power Industry,Petroleum (Barrels),"71,611"
2004,OR,Total Electric Power Industry,Natural Gas (Mcf),"93,966,693"
2004,OR,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,076,573"
2004,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"39,809"
2004,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"19,496,736"
2004,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"27,372,608"
2004,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"40,661,423"
2004,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),5
2004,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"31,717"
2004,OR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"9,479"
2004,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"31,797"
2004,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,404,209"
2004,PA,Total Electric Power Industry,Coal (Short Tons),"51,608,474"
2004,PA,Total Electric Power Industry,Petroleum (Barrels),"7,755,469"
2004,PA,Total Electric Power Industry,Natural Gas (Mcf),"73,223,391"
2004,PA,Total Electric Power Industry,Other Gases (Billion BTU),"14,871"
2004,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),"7,332,172"
2004,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"54,395"
2004,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"222,859"
2004,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"38,759,004"
2004,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,381,753"
2004,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"62,015,669"
2004,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),13
2004,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"5,005,009"
2004,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"874,839"
2004,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,947,458"
2004,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),46
2004,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"2,056"
2004,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"8,798"
2004,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,762,159"
2004,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"510,232"
2004,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"435,684"
2004,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,275,247"
2004,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"14,812"
2004,RI,Total Electric Power Industry,Petroleum (Barrels),"112,081"
2004,RI,Total Electric Power Industry,Natural Gas (Mcf),"35,959,572"
2004,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"21,312"
2004,RI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,019"
2004,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"35,958,455"
2004,RI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2004,RI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),0
2004,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"88,200"
2004,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,117"
2004,RI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,550"
2004,SC,Total Electric Power Industry,Coal (Short Tons),"15,663,497"
2004,SC,Total Electric Power Industry,Petroleum (Barrels),"1,405,094"
2004,SC,Total Electric Power Industry,Natural Gas (Mcf),"30,300,904"
2004,SC,Total Electric Power Industry,Other Gases (Billion BTU),0
2004,SC,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,556,961"
2004,SC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,192,040"
2004,SC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"19,997,045"
2004,SC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"21,908"
2004,SC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,525,188"
2004,SC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"8,129"
2004,SC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,708,010"
2004,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"2,049"
2004,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"3,128"
2004,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"106,536"
2004,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"180,967"
2004,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"67,533"
2004,SC,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),0
2004,SD,Total Electric Power Industry,Coal (Short Tons),"2,327,955"
2004,SD,Total Electric Power Industry,Petroleum (Barrels),"55,762"
2004,SD,Total Electric Power Industry,Natural Gas (Mcf),"1,675,853"
2004,SD,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,327,955"
2004,SD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"55,762"
2004,SD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,675,853"
2004,TN,Total Electric Power Industry,Coal (Short Tons),"25,272,155"
2004,TN,Total Electric Power Industry,Petroleum (Barrels),"333,827"
2004,TN,Total Electric Power Industry,Natural Gas (Mcf),"3,147,546"
2004,TN,Total Electric Power Industry,Other Gases (Billion BTU),68
2004,TN,"Electric Generators, Electric Utilities",Coal (Short Tons),"24,832,368"
2004,TN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"312,650"
2004,TN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,131,831"
2004,TN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"130,405"
2004,TN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"8,188"
2004,TN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"620,288"
2004,TN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"431,599"
2004,TN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"21,177"
2004,TN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"265,022"
2004,TN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),68
2004,TX,Total Electric Power Industry,Coal (Short Tons),"104,102,949"
2004,TX,Total Electric Power Industry,Petroleum (Barrels),"3,564,092"
2004,TX,Total Electric Power Industry,Natural Gas (Mcf),"1,481,037,697"
2004,TX,Total Electric Power Industry,Other Gases (Billion BTU),"32,378"
2004,TX,"Electric Generators, Electric Utilities",Coal (Short Tons),"41,107,097"
2004,TX,"Electric Generators, Electric Utilities",Petroleum (Barrels),"130,359"
2004,TX,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"272,231,860"
2004,TX,"Electric Generators, Independent Power Producers",Coal (Short Tons),"60,655,902"
2004,TX,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"358,804"
2004,TX,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"653,154,456"
2004,TX,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,486,312"
2004,TX,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"314,515,928"
2004,TX,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"8,821"
